UTC Time,Latitude,Longitude,GForce,satCount
135811,51.467107,5.379324,0.3,22
135811,51.467107,5.379324,0.26,22
135811,51.467107,5.379324,0.27,22
135811,51.467107,5.379324,0.28,22
135811,51.467107,5.379324,0.4,22
135811,51.467107,5.379324,0.26,22
135811,51.467107,5.379324,0.19,22
135812,51.467216,5.379456,0.16,22
135812,51.467216,5.379456,0.06,22
135812,51.467216,5.379456,0.14,22
135812,51.467216,5.379456,0.42,22
135812,51.467216,5.379456,0.24,22
135812,51.467216,5.379456,0.11,22
135812,51.467216,5.379456,0.28,22
135812,51.467216,5.379456,0.33,22
135812,51.467216,5.379456,0.21,22
135812,51.467216,5.379456,0.23,22
135813,51.467335,5.379591,0.32,22
135813,51.467335,5.379591,0.44,22
135813,51.467335,5.379591,0.44,22
135813,51.467335,5.379591,0.49,22
135813,51.467335,5.379591,0.54,22
135813,51.467335,5.379591,0.62,22
135813,51.467335,5.379591,0.57,22
135813,51.467335,5.379591,0.61,22
135813,51.467335,5.379591,0.63,22
135813,51.467335,5.379591,0.67,22
135814,51.467432,5.379714,0.64,22
135814,51.467432,5.379714,0.77,22
135814,51.467432,5.379714,0.68,22
135814,51.467432,5.379714,0.67,22
135814,51.467432,5.379714,0.61,22
135814,51.467432,5.379714,0.66,22
135814,51.467432,5.379714,0.66,22
135814,51.467432,5.379714,0.51,22
135814,51.467432,5.379714,0.51,22
135814,51.467432,5.379714,0.53,22
135815,51.467482,5.379837,0.36,22
135815,51.467482,5.379837,0.52,22
135815,51.467482,5.379837,0.51,22
135815,51.467482,5.379837,0.61,22
135815,51.467482,5.379837,0.61,22
135815,51.467482,5.379837,0.61,22
135815,51.467482,5.379837,0.56,22
135815,51.467482,5.379837,0.55,22
135815,51.467482,5.379837,0.56,22
135815,51.467482,5.379837,0.5,22
135816,51.467472,5.379968,0.58,22
135816,51.467472,5.379968,0.61,22
135816,51.467472,5.379968,0.48,22
135816,51.467472,5.379968,0.39,22
135816,51.467472,5.379968,0.46,22
135816,51.467472,5.379968,0.33,22
135816,51.467472,5.379968,0.38,22
135816,51.467472,5.379968,0.28,22
135816,51.467472,5.379968,0.31,22
135816,51.467472,5.379968,0.18,22
135817,51.467412,5.380105,0.2,22
135817,51.467412,5.380105,0.4,22
135817,51.467412,5.380105,0.27,22
135817,51.467412,5.380105,0.38,22
135817,51.467412,5.380105,0.48,22
135817,51.467412,5.380105,0.57,22
135817,51.467412,5.380105,0.45,22
135817,51.467412,5.380105,0.57,22
135817,51.467412,5.380105,0.58,22
135817,51.467412,5.380105,0.55,22
135818,51.467325,5.380256,0.57,22
135818,51.467325,5.380256,0.64,22
135818,51.467325,5.380256,0.62,22
135818,51.467325,5.380256,0.69,22
135818,51.467325,5.380256,0.76,22
135818,51.467325,5.380256,0.8,22
135818,51.467325,5.380256,0.77,22
135818,51.467325,5.380256,0.9,22
135818,51.467325,5.380256,0.85,22
135818,51.467325,5.380256,0.81,22
135819,51.467253,5.380414,0.83,22
135819,51.467253,5.380414,0.83,22
135819,51.467253,5.380414,0.72,22
135819,51.467253,5.380414,0.77,22
135819,51.467253,5.380414,0.82,22
135819,51.467253,5.380414,0.88,22
135819,51.467253,5.380414,0.76,22
135819,51.467253,5.380414,0.82,22
135819,51.467253,5.380414,0.68,22
135819,51.467253,5.380414,0.81,22
135820,51.467233,5.380566,0.75,22
135820,51.467233,5.380566,0.7,22
135820,51.467233,5.380566,0.78,22
135820,51.467233,5.380566,0.66,22
135820,51.467233,5.380566,0.62,22
135820,51.467233,5.380566,0.58,22
135820,51.467233,5.380566,0.52,22
135820,51.467233,5.380566,0.63,22
135820,51.467233,5.380566,0.62,22
135820,51.467233,5.380566,0.54,22
135821,51.467277,5.380705,0.42,22
135821,51.467277,5.380705,0.3,22
135821,51.467277,5.380705,0.3,22
135821,51.467277,5.380705,0.4,22
135821,51.467277,5.380705,0.24,22
135821,51.467277,5.380705,0.12,22
135821,51.467277,5.380705,0.06,22
135821,51.467277,5.380705,0.06,22
135821,51.467277,5.380705,0.07,22
135821,51.467277,5.380705,0.03,22
135822,51.467401,5.38082,0.09,22
135822,51.467401,5.38082,0.15,22
135822,51.467401,5.38082,0.18,22
135822,51.467401,5.38082,0.29,22
135822,51.467401,5.38082,0.49,22
135822,51.467401,5.38082,0.28,22
135822,51.467401,5.38082,0.4,22
